numero,ficheiro_wav,indice_dataset,ref_wav,ref_original_copia_relatorio,texto_referencia_treino,texto_sintetizado,tipo
1,pesos_aleatorios_01.wav,114,segment_119.wav,ref_original_01_segment_119.wav,só que ela ...,Hoje o tempo está estável e as nuvens passam devagar sobre a cidade.,texto_aleatorio
2,pesos_aleatorios_02.wav,25,segment_25.wav,ref_original_02_segment_25.wav,então você tem que estar dando suporte ao seu filho em todas as necessidades.,"Precisamos combinar horário, local e duração antes de confirmar a reunião.",texto_aleatorio
3,pesos_aleatorios_03.wav,281,segment_286.wav,ref_original_03_segment_286.wav,"hoje não, as facilidades ficaram ó timas, porque você vai ...",O mapa antigo guardava segredos entre dobras quase invisíveis ao olhar.,texto_aleatorio
4,pesos_aleatorios_04.wav,250,segment_255.wav,ref_original_04_segment_255.wav,"ao redor da lagoa era só moradia e alguns edifí cios que ficavam com previdê ncia social, alguma coisa do governo.",Três ideias simples podem resolver metade dos problemas do projeto.,texto_aleatorio
5,pesos_aleatorios_05.wav,228,segment_233.wav,ref_original_05_segment_233.wav,"é, ela veio lá do rio, né? que se chama ...","Quando a luz falha, ainda resta o som da voz para guiar o próximo passo.",texto_aleatorio
6,pesos_aleatorios_06.wav,142,segment_147.wav,ref_original_06_segment_147.wav,"por que o homem se acha no direito de castrar tanto a mulher nisso aí? porque eu, mulher, você deu os caprichos de falar porque você é homem? e por que a gente não senta para conversar?","por que o homem se acha no direito de castrar tanto a mulher nisso aí? porque eu, mulher, você deu os caprichos de falar porque você é homem? e por que a gente não senta para conversar?",texto_treino
7,pesos_aleatorios_07.wav,104,segment_107.wav,ref_original_07_segment_107.wav,"para te facilitar aquela lei. hoje não, hoje eu falo tudo para os meus filhos, é assim, você tem que proceder, tem que ter cuidado,","para te facilitar aquela lei. hoje não, hoje eu falo tudo para os meus filhos, é assim, você tem que proceder, tem que ter cuidado,",texto_treino
8,pesos_aleatorios_08.wav,89,segment_91.wav,ref_original_08_segment_91.wav,"escandaloso, e eles não queriam expor","escandaloso, e eles não queriam expor",texto_treino
9,pesos_aleatorios_09.wav,432,segment_439.wav,ref_original_09_segment_439.wav,"porque o colé gio estava aquém, assim, nos outros colé gios, em termos de educação. assim, não era um ...","porque o colé gio estava aquém, assim, nos outros colé gios, em termos de educação. assim, não era um ...",texto_treino
10,pesos_aleatorios_10.wav,32,segment_32.wav,ref_original_10_segment_32.wav,o teu comportamento não tá legal.,o teu comportamento não tá legal.,texto_treino
